Feature,ImportanceMean,ImportanceStd
PCA_96,0.0002351654361498423,0.0001476553218888422
PCA_59,0.0002336739006140065,5.052236449461401e-05
PCA_120,0.0002321823650781818,0.0001407021776842473
PCA_992,0.000232058070450214,0.00012781096386163372
PCA_33,0.00023019365103038592,0.00032513859190994027
PCA_264,0.00022832923161060227,6.369914755451128e-05
PCA_64,0.00022671340144677642,0.0001084547375725353
PCA_52,0.00022273597335121799,0.00012508733720003134
PCA_447,0.00021602406343997904,5.580205904549309e-05
PCA_1396,0.00020769632336491427,7.122949807046748e-05
PCA_230,0.00020695055559698526,9.92852697812385e-05
PCA_93,0.00020682626096900635,8.718043282284244e-05
PCA_1676,0.00020670196634101635,6.749793422644182e-05
PCA_84,0.0002029731275014157,0.00023024924804174193
PCA_2015,0.00020185447584956107,7.017573868347894e-05
PCA_889,0.00019974146717378628,6.01052888541598e-05
PCA_1576,0.00019800134238199263,6.239305579719755e-05
PCA_926,0.00019439679817038203,0.00011687687644008329
PCA_335,0.00019439679817037092,0.00011366837170786665
PCA_3194,0.00019377532503043194,4.969749378138458e-05
PCA_455,0.0001920352002386494,7.00745069675159e-05
PCA_2008,0.00019104084321475145,4.191162513025063e-05
PCA_2903,0.00019017078081885465,3.387570220220038e-05
PCA_3208,0.0001899221915628857,0.00020619935595491545
PCA_2515,0.0001870634151192041,0.00010800087466389327
PCA_1320,0.00018582046883935943,7.453792460007212e-05
PCA_529,0.00018097297834788196,6.235379723577785e-05
PCA_371,0.00017973003206800398,8.221730278214601e-05
PCA_1228,0.00017948144281201283,7.212987648404254e-05
PCA_397,0.00017898426430008608,3.950927201746657e-05
PCA_62,0.00017811420190418925,0.00017728531930500904
PCA_2631,0.00017749272876427247,5.9841893579626646e-05
PCA_2943,0.00017587689860044665,8.291905079668656e-05
PCA_63,0.00017376388992467183,0.00013831239024352608
PCA_634,0.00017227235438884713,4.2055689378135926e-05
PCA_1487,0.00017177517587688707,5.7299149448706247e-05
PCA_592,0.0001712779973649492,6.634306545222694e-05
PCA_174,0.00017102940810899138,0.00011764629348809482
PCA_2356,0.0001671762746414007,5.835033782822845e-05
PCA_208,0.00016655480150148393,0.00017022828848127337
PCA_409,0.0001663062122455039,4.971101451990021e-05
PCA_900,0.000165684739105576,4.151905723184846e-05
PCA_2461,0.00016518756059362704,2.7347360428917297e-05
PCA_25,0.0001646903820817003,9.113983585182089e-05
PCA_1319,0.0001634474358018112,5.104031431483013e-05
PCA_540,0.00016307455191785225,0.00010330491363347546
PCA_123,0.00016145872175403752,0.00010398261558121885
PCA_2984,0.0001612101324980686,0.00013916564083242997
PCA_2594,0.00015884853456634706,0.00014389625102342383
PCA_162,0.00015785417754244914,0.00012920066364844734
PCA_552,0.0001577298829144591,0.00011790372472097804
PCA_2089,0.00015661123126256004,3.9634202833644974e-05
PCA_2830,0.00015524399035474757,6.517697888379148e-05
PCA_2707,0.0001532552763069517,7.458930878041393e-05
PCA_3295,0.00015300668705097164,4.2495131788869096e-05
PCA_620,0.00015101797300318687,5.8403266916235055e-05
PCA_2792,0.0001491535535834032,6.837560346189045e-05
PCA_3369,0.00014878066969947756,7.189356434438258e-05
PCA_3148,0.00014815919655952747,6.521572241382286e-05
PCA_1035,0.0001476620180475785,5.361638631372011e-05
PCA_91,0.00014741342879158735,5.6728482163675376e-05
PCA_126,0.00014716483953564063,0.0001332218095482855
PCA_90,0.0001469162502796606,0.00011349916841196763
PCA_1699,0.00014567330399978262,7.29023754782467e-05
PCA_2747,0.00014554900937181482,6.051106237578327e-05
PCA_629,0.0001446789469759069,7.109000796017103e-05
PCA_2197,0.00014443035771993795,0.00011374255669485475
PCA_2537,0.00014430606309194792,5.367009796887767e-05
